                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1849,                 2.7415,                0.90624,                      0,                      0,                      0,                      0,                 5.1481,                 7.1582,                 5.7046,                 0.0955,                 0.0005,                 0.0005
                      1,                 1.2862,                 2.5333,                0.96958,                      0,                      0,                      0,                      0,                 5.0832,                 7.1707,                 5.5557,               0.090046,              0.0010455,              0.0010455
                      2,                 1.3058,                 2.0231,                0.95896,                      0,                      0,                      0,                      0,                 4.8776,                 6.8631,                 5.4718,               0.084532,              0.0015317,              0.0015317
                      3,                 1.3824,                  1.497,                 1.0418,                      0,                      0,                      0,                      0,                  4.638,                  6.722,                 4.8951,               0.078958,              0.0019585,              0.0019585
                      4,                 1.2765,                  1.263,                 1.0043,                      0,                      0,                      0,                      0,                 4.2825,                   6.38,                 4.1174,               0.073326,              0.0023258,              0.0023258
                      5,                  1.273,                 1.3252,                 1.0092,                      0,                      0,                      0,                      0,                  3.775,                 6.7328,                 2.9058,               0.067634,              0.0026337,              0.0026337
                      6,                 1.3244,                 1.3664,                 1.0044,                      0,                      0,                      0,                      0,                 2.3394,                 5.7977,                 1.8995,               0.061882,              0.0028823,              0.0028823
                      7,                 1.2694,                 1.3504,                  0.987,                      0,                      0,                      0,                      0,                 2.0444,                 5.0367,                 1.7314,               0.056071,              0.0030715,              0.0030715
                      8,                 1.3574,                 1.5426,                 1.0455,                      0,                      0,                      0,                      0,                 2.2298,                 4.5301,                 1.8183,               0.050201,              0.0032012,              0.0032012
                      9,                 1.2346,                 1.4246,                0.96319,                0.00759,                      1,                0.20106,                  0.058,                 2.1095,                 4.0525,                 1.7297,               0.044272,              0.0032716,              0.0032716
                     10,                  1.257,                 1.3273,                0.94928,                0.00787,                      1,                  0.863,                0.34174,                 2.5164,                 3.7798,                 1.7846,               0.038283,              0.0032825,              0.0032825
                     11,                 1.1398,                 1.2252,                0.96633,                0.12313,                      1,                  0.995,                0.47955,                 2.0734,                 2.9414,                 1.6175,               0.032234,              0.0032341,              0.0032341
                     12,                 1.1265,                 1.1267,                0.94935,                0.67844,                      1,                 0.9125,                0.45946,                 1.7749,                 2.3082,                 1.5352,               0.026126,              0.0031262,              0.0031262
                     13,                 1.1205,                 1.0993,                0.95426,                 0.9021,                      1,                  0.995,                0.56407,                 1.4619,                 3.1515,                 1.4608,               0.019959,               0.002959,               0.002959
                     14,                  1.081,                 1.0942,                0.91509,                 0.9021,                      1,                  0.995,                0.56407,                 1.4619,                 3.1515,                 1.4608,               0.013732,              0.0027323,              0.0027323
                     15,                 1.0327,                 1.1122,                0.92719,                0.94952,                      1,                  0.995,                0.59212,                 1.4326,                 3.5516,                 1.4796,              0.0074463,              0.0024463,              0.0024463
                     16,                 1.0996,                 1.0846,                0.92322,                      1,                 0.9865,                  0.995,                0.56469,                 1.4166,                 3.1498,                 1.4749,                0.00208,                0.00208,                0.00208
                     17,                  1.109,                 1.1365,                 0.9354,                0.70511,                      1,                 0.9125,                0.48166,                 1.4192,                  2.275,                 1.4778,                0.00208,                0.00208,                0.00208
                     18,                 1.0941,                 1.0869,                 0.8828,                0.70511,                      1,                 0.9125,                0.48166,                 1.4192,                  2.275,                 1.4778,               0.001585,               0.001585,               0.001585
                     19,                 1.0599,                 1.0306,                0.96792,                0.68775,                      1,                 0.9125,                0.48167,                 1.3315,                 2.0301,                 1.4561,                0.00109,                0.00109,                0.00109
