                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.5871,                 3.0484,                0.90118,                0.00189,                0.79261,                0.14706,                0.09014,                 1.7603,                  4.241,                 1.4334,                0.07075,                0.00325,                0.00325
                      1,                 0.5663,                 1.8862,                0.86082,                0.00198,                0.67898,                0.11544,                0.06278,                 1.8081,                 4.1046,                 1.4437,               0.040685,              0.0065182,              0.0065182
                      2,                 0.6335,                 1.7851,                0.89296,                0.00173,                0.80966,                 0.0672,                0.03371,                 2.2394,                 4.0601,                 1.9411,               0.010554,              0.0097203,              0.0097203
                      3,                0.66245,                 1.5565,                0.89787,                0.00227,                0.74148,                0.01043,                0.00392,                 2.1955,                 4.1938,                 1.7596,               0.009703,               0.009703,               0.009703
                      4,                0.63878,                 1.4399,                0.89786,                0.00166,                 0.6875,                0.00689,                0.00366,                 2.0356,                 4.2321,                 1.9423,               0.009703,               0.009703,               0.009703
                      5,                0.59055,                 1.3505,                0.89384,                0.00191,                0.57955,                0.00448,                0.00127,                 2.6199,                 4.3144,                 2.4971,               0.009604,               0.009604,               0.009604
                      6,                0.60995,                 1.2737,                0.88964,                0.02216,                0.04545,                0.02729,                0.01292,                 2.7532,                 4.3385,                 2.2713,               0.009505,               0.009505,               0.009505
                      7,                0.58737,                  1.212,                0.90162,                0.05979,                0.02273,                0.01313,                0.00698,                  2.379,                 4.4119,                 2.0893,               0.009406,               0.009406,               0.009406
                      8,                0.56364,                 1.1148,                0.89276,                0.07532,                0.05593,                0.02944,                0.01486,                 2.5358,                 3.8374,                 2.0466,               0.009307,               0.009307,               0.009307
                      9,                0.53553,                 1.0312,                0.89116,                0.44529,                0.05398,                0.05609,                0.03559,                 2.3789,                 3.9209,                 2.0937,               0.009208,               0.009208,               0.009208
                     10,                0.52009,                0.98562,                0.88253,                0.11579,                0.02273,                0.01734,                0.00729,                 2.5618,                 4.4851,                 2.2379,               0.009109,               0.009109,               0.009109
                     11,                0.51829,                0.94552,                0.87442,                0.00576,                0.34943,                0.00409,                0.00156,                 2.9076,                 4.5945,                 2.2243,                0.00901,                0.00901,                0.00901
                     12,                0.52364,                0.94488,                0.88188,                0.00706,                0.16761,                0.01871,                0.00478,                 3.1735,                 4.2502,                 2.3648,               0.008911,               0.008911,               0.008911
                     13,                0.48087,                0.78153,                0.86956,                0.00799,                0.14773,                0.00631,                0.00216,                 2.8802,                 4.3799,                  2.362,               0.008812,               0.008812,               0.008812
                     14,                0.45265,                0.83871,                0.86985,                0.38397,                0.12399,                0.11287,                0.02316,                 2.4425,                   3.88,                 2.2645,               0.008713,               0.008713,               0.008713
                     15,                0.44664,                0.79616,                0.85497,                0.01373,                0.49432,                0.03892,                0.01359,                 2.3681,                  3.876,                 2.1645,               0.008614,               0.008614,               0.008614
                     16,                0.45945,                 0.7598,                0.86294,                0.12626,                0.09781,                0.08464,                0.04865,                 2.1504,                 3.8367,                 2.1013,               0.008515,               0.008515,               0.008515
                     17,                0.44396,                0.73586,                0.86143,                 0.2239,                   0.15,                0.13119,                 0.0575,                  2.334,                 3.6403,                 2.0774,               0.008416,               0.008416,               0.008416
                     18,                0.43276,                 0.7148,                0.85669,                0.43949,                0.17253,                0.18013,                0.06447,                  2.314,                 3.8087,                  2.297,               0.008317,               0.008317,               0.008317
                     19,                 0.4386,                0.74989,                0.85881,                 0.3479,                0.17045,                0.20203,                0.09072,                 2.1926,                 3.5036,                 2.1652,               0.008218,               0.008218,               0.008218
                     20,                0.43715,                0.73558,                 0.8542,                0.00434,                0.12216,                0.00347,                0.00159,                 2.2612,                 4.8006,                 2.2028,               0.008119,               0.008119,               0.008119
                     21,                0.41103,                0.68471,                0.84107,                0.64684,                0.02273,                 0.0178,                0.00795,                 2.2568,                 4.3925,                 2.0975,                0.00802,                0.00802,                0.00802
                     22,                0.41987,                0.70363,                0.84634,                0.06213,                0.04545,                0.04918,                0.01612,                 2.6044,                 4.1219,                 2.2516,               0.007921,               0.007921,               0.007921
                     23,                 0.4086,                0.70396,                 0.8564,                0.06956,                0.47727,                 0.1127,                0.04199,                 2.0411,                 4.1195,                 1.9183,               0.007822,               0.007822,               0.007822
                     24,                0.40504,                0.66035,                0.85704,                0.11363,                0.04545,                0.05408,                0.02196,                 2.4467,                 3.7556,                 2.2569,               0.007723,               0.007723,               0.007723
                     25,                 0.3903,                0.62812,                0.84407,                0.28103,                0.06818,                0.10878,                0.04079,                 2.4882,                 3.8748,                 2.3499,               0.007624,               0.007624,               0.007624
                     26,                 0.3963,                0.60153,                0.84511,                 0.4672,                0.10795,                0.14755,                 0.0739,                 2.2613,                 3.8053,                 2.0802,               0.007525,               0.007525,               0.007525
                     27,                0.38678,                0.60617,                0.84192,                0.43637,                0.10795,                0.08509,                0.05467,                 2.4914,                  4.262,                 2.3276,               0.007426,               0.007426,               0.007426
                     28,                0.37685,                0.56832,                0.84161,                0.28861,                0.17045,                0.13417,                 0.0652,                 2.5032,                 3.9615,                 2.4859,               0.007327,               0.007327,               0.007327
                     29,                0.38676,                0.56698,                0.84688,                0.33946,                 0.0767,                0.09646,                0.05288,                 2.3411,                 4.2144,                 2.3402,               0.007228,               0.007228,               0.007228
                     30,                0.36259,                0.55761,                0.83177,                0.49512,                0.13068,                0.17351,                0.08972,                 2.3274,                 4.0869,                 2.1332,               0.007129,               0.007129,               0.007129
                     31,                0.36783,                0.55736,                0.84513,                0.68982,                0.16193,                0.21121,                0.10433,                 2.3324,                 4.0085,                 2.2049,                0.00703,                0.00703,                0.00703
                     32,                0.36903,                0.54964,                0.83001,                0.28783,                0.13027,                0.07427,                0.03189,                 2.4681,                 4.3037,                 2.4004,               0.006931,               0.006931,               0.006931
                     33,                0.36266,                0.53989,                0.83791,                0.14433,                0.14773,                0.08114,                0.02445,                 2.6837,                 4.1388,                 2.7296,               0.006832,               0.006832,               0.006832
                     34,                0.36252,                0.52896,                0.83284,                0.46629,                0.14773,                0.23072,                0.07945,                 2.4829,                 4.0197,                 2.4287,               0.006733,               0.006733,               0.006733
                     35,                0.36726,                0.52921,                0.84507,                0.57898,                0.10738,                0.22312,                0.12738,                 2.2129,                 3.8001,                 2.1617,               0.006634,               0.006634,               0.006634
                     36,                0.34212,                0.52714,                0.83829,                0.47218,                  0.125,                0.20434,                0.08238,                 2.2044,                 4.0665,                 2.1028,               0.006535,               0.006535,               0.006535
                     37,                0.35921,                0.52833,                 0.8306,                0.48869,                0.22443,                0.26879,                 0.1357,                 2.2183,                 3.4249,                 2.2445,               0.006436,               0.006436,               0.006436
                     38,                0.35361,                 0.5258,                 0.8232,                0.28094,                0.12083,                0.11745,                0.07764,                 2.1977,                  4.187,                 2.1972,               0.006337,               0.006337,               0.006337
                     39,                0.33764,                0.51465,                0.82728,                0.49939,                0.10904,                0.11957,                0.06763,                 2.3038,                 4.3822,                 2.2419,               0.006238,               0.006238,               0.006238
                     40,                0.33504,                0.48413,                0.82574,                0.69491,                 0.0767,                0.08418,                0.04999,                 2.2826,                 4.5566,                 2.1446,               0.006139,               0.006139,               0.006139
                     41,                0.31889,                0.48206,                0.82162,                0.14843,                0.03125,                 0.0127,                0.01046,                 2.3189,                 5.1387,                 2.1192,                0.00604,                0.00604,                0.00604
                     42,                0.32935,                 0.5311,                0.83176,                0.17351,                0.03125,                0.03453,                0.02994,                 2.1583,                 5.1492,                 2.0222,               0.005941,               0.005941,               0.005941
                     43,                0.31814,                  0.518,                0.83692,                0.83408,                0.03125,                 0.0645,                0.05046,                 2.0277,                 4.6679,                 2.1509,               0.005842,               0.005842,               0.005842
                     44,                0.31063,                0.51016,                0.82629,                0.66239,                0.08523,                0.09303,                0.04803,                 2.2918,                 4.6073,                  2.207,               0.005743,               0.005743,               0.005743
                     45,                0.33363,                0.50054,                0.82615,                0.75403,                0.03125,                0.05128,                0.02914,                 2.0834,                 4.7967,                 2.0598,               0.005644,               0.005644,               0.005644
                     46,                0.32397,                0.47569,                0.82289,                 0.4895,                0.14017,                0.16889,                0.10437,                 2.1703,                 4.3327,                  2.304,               0.005545,               0.005545,               0.005545
                     47,                0.29598,                0.42517,                0.82109,                0.72016,                0.16193,                0.16495,                0.10776,                 2.1364,                  4.006,                 2.1476,               0.005446,               0.005446,               0.005446
                     48,                0.29968,                0.42939,                 0.8138,                0.51522,                0.16193,                0.23841,                0.11089,                  2.234,                 3.8977,                 2.2441,               0.005347,               0.005347,               0.005347
                     49,                0.31566,                0.43152,                0.82613,                0.02744,                0.21591,                0.05092,                0.02779,                 2.4995,                 4.6541,                 2.3647,               0.005248,               0.005248,               0.005248
                     50,                0.29311,                0.41139,                0.80999,                0.62808,                0.08306,                 0.1867,                0.10236,                   2.37,                 4.2433,                 2.3331,               0.005149,               0.005149,               0.005149
                     51,                0.30332,                0.44346,                0.82285,                0.52913,                0.15341,                0.17456,                0.09777,                  2.127,                 4.0217,                  2.221,                0.00505,                0.00505,                0.00505
                     52,                0.30759,                0.46077,                0.82782,                0.62007,                0.17476,                0.21349,                0.10055,                 2.2978,                 4.0665,                 2.3709,               0.004951,               0.004951,               0.004951
                     53,                0.29509,                0.41675,                0.81558,                0.57143,                0.13068,                0.22274,                0.10326,                 2.1993,                 4.3277,                 2.3342,               0.004852,               0.004852,               0.004852
                     54,                0.29193,                0.41751,                0.82065,                0.48672,                0.14729,                0.16749,                0.08849,                 2.2956,                 4.6258,                 2.3461,               0.004753,               0.004753,               0.004753
